Лот,Продан,Гр,Игрок,Продавец,Покупатель,Поз,Воз,Мас,T,РТ,Цена,/xml/players/transfer.php?page=1&type=players/transfer&act=history&Age_1=16&Age_2=16&Talent_1=4&Talent_2=4&lottime=2024-11-12&id=&sort=LotL
3323768,02.01.25,,Хоакин Эрдмансдорф,Атлетико Табаре,Покупатель,Cm,16,19,4,4.0,222.000.027,/players/854584&archive=3323768
3313154,02.12.24,,Злат Добровольский,Металлист,Покупатель,Cf,16,8,4,4.0,278.500.000,/players/851754&archive=3313154
3313237,03.12.24,,Удом Ин,Синтана,Покупатель,Cd,16,8,4,4.0,232.000.000,/players/851791&archive=3313237
3313203,03.12.24,,Феде Бонилья,Альмерия,Покупатель,Cf,16,8,4,4.0,300.000.036,/players/851766&archive=3313203
3313185,03.12.24,,Адиль Аль-Бадави,Аль Шула,Покупатель,Cm,16,8,4,4.0,253.320.000,/players/851870&archive=3313185
3329898,04.02.25,,Зорепад Калапач,Прогресс Нидеркорн,Покупатель,Cf/Am,16,22,4,4.4,195.526.336,/players/852992&archive=3329898
3329177,04.02.25,,Эдан Дион,АС Монако,Покупатель,Cm,16,12,4,4.1,80.000.000,/players/854557&archive=3329177
3313204,04.12.24,,Морис де Гроте,Льеж,Покупатель,Cf,16,8,4,4.0,300.000.000,/players/851817&archive=3313204
3313178,04.12.24,,Умберту Алимао,Сан-Бенту,Покупатель,Gk,16,8,4,4.0,210.000.000,/players/851814&archive=3313178
3313158,04.12.24,,Оспак Олденсон,Хугинн,Покупатель,Cm,16,8,4,4.0,326.550.000,/players/851795&archive=3313158
3313180,04.12.24,,Рокки Поло,Эльче,Покупатель,Cf,16,8,4,4.0,300.000.036,/players/851892&archive=3313180
3328821,05.02.25,,Ли Чи Чон,Уиндсор Арч,Покупатель,Cf,16,14,4,4.0,71.000.000,/players/855352&archive=3328821
3330310,05.02.25,,Джефри Форберт,Блэк Лайонс ФК,Покупатель,Cf,16,18,4,4.0,39.000.027,/players/855749&archive=3330310
3313234,05.12.24,,Богдан Овсянников,Крикова,Покупатель,Cf,16,8,4,4.0,210.000.082,/players/851834&archive=3313234
3313263,05.12.24,,Теарики Ньюнэм,Те Ау О Тонга,Покупатель,Gk,16,8,4,4.0,243.600.000,/players/851841&archive=3313263
3313346,05.12.24,,Арман Царукян,Двин,Покупатель,Gk,16,8,4,4.0,200.000.078,/players/851962&archive=3313346
3313488,05.12.24,,Ригоберто Росадо,Вида,Покупатель,Cf,16,8,4,4.0,245.000.000,/players/851973&archive=3313488
3313156,05.12.24,,Дункан Балбоса,Дефенс Форсе,Покупатель,Ld,16,8,4,4.0,239.400.099,/players/851769&archive=3313156
3313309,05.12.24,,Басилио Рубиньо,Эспарта,Покупатель,Cf,16,8,4,4.0,246.000.027,/players/851955&archive=3313309
3313335,05.12.24,,Арчибальд Амарос,Монаркас,Покупатель,Cf,16,8,4,4.0,233.000.000,/players/851842&archive=3313335
3329785,06.02.25,,Михаил Кержаков,Тосно,Покупатель,Gk,16,18,4,4.1,300.000.027,/players/853804&archive=3329785
3313199,06.12.24,,Лорант Рот,Сегед,Покупатель,Cf,16,8,4,4.0,282.461.112,/players/851902&archive=3313199
3315539,06.12.24,,Хосу Вильалба,Сельта,Покупатель,Cm,16,8,4,4.0,360.000.036,/players/852332&archive=3315539
3315620,06.12.24,,Тэд Ватсон,Кавалер С.К.,Покупатель,Ld,16,8,4,4.0,198.000.027,/players/852552&archive=3315620
3315512,06.12.24,,Эрик Хэнсон,Торнадо Ямайка,Покупатель,Lm,16,8,4,4.0,250.000.027,/players/852550&archive=3315512
3315561,06.12.24,,Злат Безюберда,Олимпия ФК АЕС,Покупатель,Dm,16,8,4,4.0,216.000.000,/players/852380&archive=3315561
3315538,06.12.24,,Андони Валеро Сарасуа,Сельта,Покупатель,Gk,16,8,4,4.0,300.000.036,/players/852331&archive=3315538
3313205,06.12.24,,Владимир Бендер,Шахтер Солигорск,Покупатель,Cm,16,8,4,4.0,448.000.036,/players/851743&archive=3313205
3313261,06.12.24,,Матвей Сафонов,Звезда Санкт-Петербург,Покупатель,Gk,16,8,4,4.0,510.513.112,/players/851934&archive=3313261
3315542,06.12.24,,Родион Озимковский,СК Полтава,Покупатель,Lm,16,8,4,4.0,234.000.000,/players/852439&archive=3315542
3329747,07.02.25,,Пётр Сердюченко,Кристалл Херсон,Покупатель,Am,16,17,4,4.0,88.200.000,/players/855504&archive=3329747
3330795,07.02.25,,Марсел Забитцер,Лугано,Покупатель,Cd,16,16,4,4.1,117.600.112,/players/853361&archive=3330795
3323844,08.01.25,,Фернанду Чан,Спортинг Макао,Покупатель,Rd,16,17,4,4.0,86.000.000,/players/854570&archive=3323844
3323614,09.01.25,,Сонесаван Дуангдала,Илойло,Покупатель,Dm,16,14,4,4.0,67.528.125,/players/852517&archive=3323614
3323753,09.01.25,,Неймар Джиральдо,Ипитанга,Покупатель,Cd,16,15,4,4.0,100.000.000,/players/854563&archive=3323753
3320360,09.01.25,,Хайме Бовель,Эль Чорильо,Покупатель,Cf,16,11,4,4.0,77.200.000,/players/853517&archive=3320360
3323489,09.01.25,,Даниелло Споссато,Рейнир Сандгерди,Покупатель,Gk,16,18,4,4.1,88.200.000,/players/852025&archive=3323489
3316519,09.12.24,,Анжело Маргало,Манаус,Покупатель,Dm,16,8,4,4.0,250.000.027,/players/853035&archive=3316519
3315643,09.12.24,,Гленн Бентли,Скарборо Атлетик,Покупатель,Cd,16,8,4,4.0,306.495.000,/players/852401&archive=3315643
3315622,09.12.24,,Викентие Булян,Спартак Суботица,Покупатель,Cd,16,8,4,4.0,300.000.036,/players/852427&archive=3315622
3315528,09.12.24,,Ник Фольц,Ноттс Каунти,Покупатель,Cd,16,8,4,4.0,339.100.000,/players/852614&archive=3315528
3315526,09.12.24,,Раден Андриевич,ФК Младеновац,Покупатель,Cd,16,8,4,4.0,360.000.052,/players/852490&archive=3315526
3315604,09.12.24,,Дон Константин,Бостон Юнайтед,Покупатель,Cf,16,8,4,4.0,319.100.000,/players/852379&archive=3315604
3315569,09.12.24,,Райс Робинс,Бирмингем Сити,Покупатель,Dm,16,8,4,4.0,322.000.000,/players/852307&archive=3315569
3313341,09.12.24,,Эдлорн Данн,Барнс Хилл,Покупатель,Cf,16,8,4,4.0,242.550.000,/players/851960&archive=3313341
3315535,09.12.24,,Кельвин Варнеке,Арминия Ганновер,Покупатель,Cd,16,8,4,4.0,353.000.000,/players/852431&archive=3315535
